"city","state","slug","growth","densityMi","areaMi","lng","lat","population","pop2026","pop2025","pop2020","pop2010","type","rank"
"Edmond","Oklahoma","oklahoma/edmond",0.01101,1198,84.444,-97.4131,35.6738,101185,101185,100112,94750,81405,"City",371
"Toms River","New Jersey","new-jersey/toms-river-township",0.00919,2493,40.545,-74.1662,39.9943,101061,101061,100467,95665,91239,"Township",372
"Canton","Michigan","michigan/canton-charter-township",0.0035,2793,36.125,-83.4858,42.3075,100901,100901,100347,98805,90173,"Township",373
"Leander","Texas","texas/leander",0.08785,2607,38.686,-97.8617,30.5743,100843,100843,94177,60847,26521,"City",374
"Merced","California","california/merced",0.02447,3862,26.046,-120.47,37.3114,100600,100600,98336,87019,78958,"City",375
"Davenport","Iowa","iowa/davenport",-0.00176,1566,64.209,-90.604,41.5568,100581,100581,100759,101651,99685,"City",376
"Inglewood","California","california/inglewood",-0.01107,11080,9.067,-118.344,33.9561,100462,100462,101618,107398,109673,"City",377
"Atascocita","Texas","texas/atascocita",0,4203,23.887,-95.1946,29.9779,100406,100406,98246,0,65844,"CDP",378
"San Angelo","Texas","texas/san-angelo",0.00023,1668,60.061,-100.451,31.4411,100206,100206,100182,100065,93200,"City",379
"Avondale","Arizona","arizona/avondale",0.01876,2093,47.845,-112.329,33.3132,100130,100130,98369,89566,76238,"City",380
"Longmont","Colorado","colorado/longmont",0.00154,3420,29.28,-105.101,40.1682,100124,100124,99971,99206,86270,"City",381
